Date,BND,SPY,TSLA
2015-01-02,59.405391693115234,169.6878204345703,14.620667457580566
2015-01-05,59.57793045043945,166.6233367919922,14.005999565124512
2015-01-06,59.75042724609375,165.053955078125,14.085332870483398
2015-01-07,59.78630828857422,167.11068725585938,14.063332557678223
2015-01-08,59.69292068481445,170.0760498046875,14.041333198547363
2015-01-09,59.793540954589844,168.71316528320312,13.77733325958252
2015-01-12,59.872596740722656,167.39154052734375,13.480667114257812
2015-01-13,59.930091857910156,166.92071533203125,13.616666793823242
2015-01-14,60.06669235229492,165.9129638671875,12.845999717712402
2015-01-15,60.33260726928711,164.3931121826172,12.791333198547363
2015-01-16,60.15290832519531,166.54898071289062,12.871333122253418
2015-01-20,60.088233947753906,166.90419006347656,12.795332908630371
2015-01-21,59.97323989868164,167.7467041015625,13.104666709899902
2015-01-22,59.987667083740234,170.2412872314453,13.441332817077637
2015-01-23,60.18166732788086,169.30789184570312,13.419333457946777
2015-01-26,60.10979461669922,169.7043914794922,13.770000457763672
2015-01-27,60.14573669433594,167.46591186523438,13.732000350952148
2015-01-28,60.36132049560547,165.31825256347656,13.291333198547363
2015-01-29,60.29668045043945,166.8463134765625,13.680000305175781
2015-01-30,60.62729263305664,164.7482147216797,13.573332786560059
2015-02-02,60.555274963378906,166.78857421875,14.062666893005371
2015-02-03,60.36801528930664,169.2005157470703,14.557332992553711
2015-02-04,60.389591217041016,168.5561981201172,14.569999694824219
2015-02-05,60.25999069213867,170.25779724121094,14.732666969299316
2015-02-06,59.871089935302734,169.78700256347656,14.490667343139648
2015-02-09,59.84944534301758,169.02699279785156,14.498666763305664
2015-02-10,59.7414665222168,170.8277130126953,14.419333457946777
2015-02-11,59.7414665222168,170.92689514160156,14.186667442321777
2015-02-12,59.77025604248047,172.57061767578125,13.525333404541016
2015-02-13,59.633460998535156,173.281005859375,13.584667205810547
2015-02-17,59.395751953125,173.55360412597656,13.623332977294922
2015-02-18,59.5614128112793,173.5701141357422,13.630666732788086
2015-02-19,59.51096725463867,173.4462432861328,14.11400032043457
2015-02-20,59.525394439697266,174.4869842529297,14.473999977111816
2015-02-23,59.6478157043457,174.46217346191406,13.822667121887207
2015-02-24,59.89265823364258,174.95782470703125,13.607333183288574
2015-02-25,59.9503059387207,174.8091583251953,13.583999633789062
2015-02-26,59.78468704223633,174.60267639160156,13.812666893005371
2015-02-27,59.835018157958984,174.0078582763672,13.555999755859375
2015-03-02,59.641693115234375,175.10650634765625,13.155332565307617
2015-03-03,59.56949996948242,174.3878631591797,13.303999900817871
2015-03-04,59.56949996948242,173.65269470214844,13.496000289916992
2015-03-05,59.60558319091797,173.84274291992188,13.375332832336426
2015-03-06,59.25919723510742,171.39768981933594,12.925333023071289
2015-03-09,59.33138656616211,172.1080322265625,12.725333213806152
2015-03-10,59.562294006347656,169.31614685058594,12.687999725341797
2015-03-11,59.62722396850586,168.91969299316406,12.916000366210938
2015-03-12,59.670570373535156,171.06727600097656,12.73799991607666
2015-03-13,59.612796783447266,170.01824951171875,12.578666687011719
2015-03-16,59.728248596191406,172.28977966308594,13.046667098999023
2015-03-17,59.77875900268555,171.77769470214844,12.982000350952148
2015-03-18,60.14682388305664,173.84274291992188,13.380666732788086
2015-03-19,59.96639633178711,173.04969787597656,13.043333053588867
2015-03-20,60.12517166137695,174.5771942138672,13.20533275604248
2015-03-23,60.153995513916016,174.23699951171875,13.308667182922363
2015-03-24,60.25504684448242,173.2579803466797,13.447999954223633
2015-03-25,60.16122055053711,170.71908569335938,12.953332901000977
2015-03-26,59.96639633178711,170.31256103515625,12.694000244140625
2015-03-27,60.02412414550781,170.70248413085938,12.333333015441895
2015-03-30,60.09629821777344,172.7850341796875,12.704667091369629
2015-03-31,60.16122055053711,171.27499389648438,12.584667205810547
2015-04-01,60.40065002441406,170.66929626464844,12.505999565124512
2015-04-02,60.32107925415039,171.2832794189453,12.733332633972168
2015-04-06,60.3717155456543,172.43658447265625,13.539999961853027
2015-04-07,60.40787124633789,171.9802703857422,13.550000190734863
2015-04-08,60.364498138427734,172.56103515625,13.844667434692383
2015-04-09,60.234291076660156,173.32437133789062,14.005999565124512
2015-04-10,60.205360412597656,174.27020263671875,14.0600004196167
2015-04-13,60.2198371887207,173.4820098876953,13.985333442687988
2015-04-14,60.32826614379883,173.81387329101562,13.830666542053223
2015-04-15,60.386192321777344,174.59375,13.85533332824707
2015-04-16,60.3717155456543,174.54397583007812,13.779999732971191
2015-04-17,60.472991943359375,172.5361328125,13.78600025177002
2015-04-20,60.40787124633789,174.11257934570312,13.684666633605957
2015-04-21,60.33553695678711,173.90512084960938,13.96066665649414
2015-04-22,60.11134338378906,174.75978088378906,14.629332542419434
2015-04-23,60.22707748413086,175.1995391845703,14.573332786560059
2015-04-24,60.32107925415039,175.60601806640625,14.562000274658203
2015-04-27,60.277706146240234,174.8759002685547,15.436667442321777
2015-04-28,60.0895881652832,175.4318084716797,15.36533260345459
2015-04-29,59.901588439941406,174.7099609375,15.49666690826416
2015-04-30,59.966644287109375,172.95933532714844,15.069999694824219
2015-05-01,59.78480529785156,174.8343963623047,15.0686674118042
2015-05-04,59.69783401489258,175.33224487304688,15.36733341217041
2015-05-05,59.603580474853516,173.32437133789062,15.529999732971191
2015-05-06,59.4369010925293,172.6107940673828,15.362000465393066
