Date,TSLA,BND,SPY
2015-01-02,59.40542984008789,169.68785095214844,14.620667457580566
2015-01-05,59.57795333862305,166.6233673095703,14.005999565124512
2015-01-06,59.75040817260742,165.05392456054688,14.085332870483398
2015-01-07,59.786380767822266,167.1106719970703,14.063332557678223
2015-01-08,59.69289016723633,170.0760955810547,14.041333198547363
2015-01-09,59.79353332519531,168.71315002441406,13.77733325958252
2015-01-12,59.87260055541992,167.3915557861328,13.480667114257812
2015-01-13,59.930084228515625,166.92066955566406,13.616666793823242
2015-01-14,60.06667709350586,165.9129638671875,12.845999717712402
2015-01-15,60.33261489868164,164.39303588867188,12.791333198547363
2015-01-16,60.15292739868164,166.5490264892578,12.871333122253418
2015-01-20,60.088233947753906,166.9041748046875,12.795332908630371
2015-01-21,59.973209381103516,167.7467041015625,13.104666709899902
2015-01-22,59.987579345703125,170.24127197265625,13.441332817077637
2015-01-23,60.18168640136719,169.307861328125,13.419333457946777
2015-01-26,60.10976028442383,169.70440673828125,13.770000457763672
2015-01-27,60.14568328857422,167.46588134765625,13.732000350952148
2015-01-28,60.36137771606445,165.3182373046875,13.291333198547363
2015-01-29,60.29664993286133,166.8463592529297,13.680000305175781
2015-01-30,60.627288818359375,164.74830627441406,13.573332786560059
2015-02-02,60.55530548095703,166.7884979248047,14.062666893005371
2015-02-03,60.368064880371094,169.20045471191406,14.557332992553711
2015-02-04,60.38962936401367,168.55624389648438,14.569999694824219
2015-02-05,60.25996017456055,170.25775146484375,14.732666969299316
2015-02-06,59.871070861816406,169.78697204589844,14.490667343139648
2015-02-09,59.84947204589844,169.0270233154297,14.498666763305664
2015-02-10,59.741432189941406,170.82774353027344,14.419333457946777
2015-02-11,59.741432189941406,170.92684936523438,14.186667442321777
2015-02-12,59.77025604248047,172.5706024169922,13.525333404541016
2015-02-13,59.633426666259766,173.2809600830078,13.584667205810547
2015-02-17,59.395748138427734,173.5536346435547,13.623332977294922
2015-02-18,59.56141662597656,173.5701141357422,13.630666732788086
2015-02-19,59.510955810546875,173.44619750976562,14.11400032043457
2015-02-20,59.5253791809082,174.4869842529297,14.473999977111816
2015-02-23,59.647796630859375,174.4622344970703,13.822667121887207
2015-02-24,59.89268112182617,174.9578094482422,13.607333183288574
2015-02-25,59.95033645629883,174.8091583251953,13.583999633789062
2015-02-26,59.78462600708008,174.60267639160156,13.812666893005371
2015-02-27,59.835052490234375,174.0078887939453,13.555999755859375
2015-03-02,59.64168167114258,175.10653686523438,13.155332565307617
2015-03-03,59.56953048706055,174.3878631591797,13.303999900817871
2015-03-04,59.56953048706055,173.6527099609375,13.496000289916992
2015-03-05,59.605567932128906,173.84271240234375,13.375332832336426
2015-03-06,59.259239196777344,171.39772033691406,12.925333023071289
2015-03-09,59.331382751464844,172.1080780029297,12.725333213806152
2015-03-10,59.5622444152832,169.3161163330078,12.687999725341797
2015-03-11,59.627227783203125,168.9196319580078,12.916000366210938
2015-03-12,59.6705436706543,171.06732177734375,12.73799991607666
2015-03-13,59.612796783447266,170.01820373535156,12.578666687011719
2015-03-16,59.728275299072266,172.28977966308594,13.046667098999023
2015-03-17,59.77878189086914,171.7776641845703,12.982000350952148
2015-03-18,60.14680862426758,173.84271240234375,13.380666732788086
2015-03-19,59.96638870239258,173.0497283935547,13.043333053588867
2015-03-20,60.12516403198242,174.5771942138672,13.20533275604248
2015-03-23,60.15400695800781,174.23704528808594,13.308667182922363
2015-03-24,60.255027770996094,173.25794982910156,13.447999954223633
2015-03-25,60.16123962402344,170.71910095214844,12.953332901000977
2015-03-26,59.96638870239258,170.31253051757812,12.694000244140625
2015-03-27,60.02412033081055,170.70252990722656,12.333333015441895
2015-03-30,60.096309661865234,172.7850341796875,12.704667091369629
2015-03-31,60.16123962402344,171.27499389648438,12.584667205810547
2015-04-01,60.40066146850586,170.6693115234375,12.505999565124512
2015-04-02,60.32106399536133,171.28329467773438,12.733332633972168
2015-04-06,60.371707916259766,172.43655395507812,13.539999961853027
2015-04-07,60.40785598754883,171.9802703857422,13.550000190734863
2015-04-08,60.36446762084961,172.56101989746094,13.844667434692383
2015-04-09,60.23429870605469,173.32435607910156,14.005999565124512
2015-04-10,60.20537567138672,174.27020263671875,14.0600004196167
2015-04-13,60.219825744628906,173.48204040527344,13.985333442687988
2015-04-14,60.32832717895508,173.81385803222656,13.830666542053223
2015-04-15,60.386146545410156,174.59376525878906,13.85533332824707
2015-04-16,60.371707916259766,174.5440673828125,13.779999732971191
2015-04-17,60.47291946411133,172.53610229492188,13.78600025177002
2015-04-20,60.40785598754883,174.11257934570312,13.684666633605957
2015-04-21,60.33550262451172,173.9051513671875,13.96066665649414
2015-04-22,60.111328125,174.75975036621094,14.629332542419434
2015-04-23,60.22703170776367,175.19949340820312,14.573332786560059
2015-04-24,60.32106399536133,175.6060028076172,14.562000274658203
2015-04-27,60.27768325805664,174.87591552734375,15.436667442321777
2015-04-28,60.08964538574219,175.4318084716797,15.36533260345459
2015-04-29,59.901573181152344,174.70999145507812,15.49666690826416
2015-04-30,59.9666748046875,172.95924377441406,15.069999694824219
2015-05-01,59.784828186035156,174.8343963623047,15.0686674118042
2015-05-04,59.697837829589844,175.33221435546875,15.36733341217041
2015-05-05,59.60363006591797,173.32435607910156,15.529999732971191
2015-05-06,59.43693542480469,172.61080932617188,15.362000465393066
2015-05-07,59.56012725830078,173.29942321777344,15.786666870117188
2015-05-08,59.71958923339844,175.5811309814453,15.77400016784668
2015-05-11,59.407958984375,174.7431182861328,15.965999603271484
2015-05-12,59.3354606628418,174.22042846679688,16.31599998474121
2015-05-13,59.30650329589844,174.2536163330078,16.211999893188477
2015-05-14,59.42246627807617,176.07064819335938,16.273332595825195
2015-05-15,59.66159439086914,176.26153564453125,16.589332580566406
2015-05-18,59.444183349609375,176.80914306640625,16.583332061767578
